Image;Collection;Production;Date;Occasion;Leaflet Language
Scan 2024-02-14 1132-15.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-16.jpeg;1946-1947;De Ontvoering uit het Serail;27/10/1946;;ned
Scan 2024-02-14 1132-17.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-18.jpeg;1946-1947;Othello;29/10/1946;;ned
Scan 2024-02-14 1132-19.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-20.jpeg;1946-1947;De Rozenkavalier;31/10/1946;;ned
Scan 2024-02-14 1132-21.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-22.jpeg;1946-1947;De Ontvoering uit het Serail;02/11/1946;;ned
Scan 2024-02-14 1132-23.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-24.jpeg;1946-1947;Madame Butterfly;03/11/1946;;ned
Scan 2024-02-14 1132-25.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-26.jpeg;1946-1947;Margared;03/11/1946;;ned
Scan 2024-02-14 1132-27.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-28.jpeg;1946-1947;De Vogelhandelaar;05/11/1946;;ned
Scan 2024-02-14 1132-29.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-30.jpeg;1946-1947;Traviata;07/11/1946;;ned
Scan 2024-02-14 1132-31.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-32.jpeg;1946-1947;Margared;09/11/1946;;ned
Scan 2024-02-14 1132-33.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-34.jpeg;1946-1947;De Ontvoering uit het Serail;10/11/1946;;ned
Scan 2024-02-14 1132-35.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-36.jpeg;1946-1947;De Rozenkavalier;10/11/1946;;ned
Scan 2024-02-14 1132-37.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-38.jpeg;1946-1947;Margared;12/11/1946;;ned
Scan 2024-02-14 1132-39.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-40.jpeg;1946-1947;Faust;14/11/1946;;ned
Scan 2024-02-14 1132-41.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-42.jpeg;1946-1947;Schuld en Boete;16/11/1946;;ned
Scan 2024-02-14 1132-43.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-44.jpeg;1946-1947;De Rozenkavalier;17/11/1946;;ned
Scan 2024-02-14 1132-45.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-46.jpeg;1946-1947;Madame Butterfly;17/11/1946;;ned
Scan 2024-02-14 1132-47.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-48.jpeg;1946-1947;Het Land van den Glimlach;19/11/1946;;ned
Scan 2024-02-14 1132-49.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1132-50.jpeg;1946-1947;Schuld en Boete;21/11/1946;;ned
Scan 2024-02-14 1150-1.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-2.jpeg;1946-1947;Traviata + Haute Couture;23/11/1946;;ned
Scan 2024-02-14 1150-3.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-4.jpeg;1946-1947;Het Land van den Glimlach;24/11/1946;;ned
Scan 2024-02-14 1150-5.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-6.jpeg;1946-1947;Schuld en Boete;24/11/1946;;ned
Scan 2024-02-14 1150-7.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-8.jpeg;1946-1947;De Ontvoering uit het Serail;26/11/1946;;ned
Scan 2024-02-14 1150-9.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-10.jpeg;1946-1947;Madame Butterfly + Haute Couture;26/11/1946;;ned
Scan 2024-02-14 1150-11.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-12.jpeg;1946-1947;Othello;30/11/1946;;ned
Scan 2024-02-14 1150-13.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-14.jpeg;1946-1947;Schuld en Boete;01/12/1946;;ned
Scan 2024-02-14 1150-15.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-16.jpeg;1946-1947;Het Land van den Glimlach;01/12/1946;;ned
Scan 2024-02-14 1150-17.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-18.jpeg;1946-1947;Faust;03/12/1946;;ned
Scan 2024-02-14 1150-19.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-20.jpeg;1946-1947;Othello;05/12/1946;;ned
Scan 2024-02-14 1150-21.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-22.jpeg;1946-1947;Thyl Uilenspiegel;07/12/1946;;ned
Scan 2024-02-14 1150-23.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-24.jpeg;1946-1947;De Vogelhandelaar;08/12/1946;;ned
Scan 2024-02-14 1150-25.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-26.jpeg;1946-1947;Othello;08/12/1946;;ned
Scan 2024-02-14 1150-27.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-28.jpeg;1946-1947;Madame Butterfly + Haute Couture;10/12/1946;;ned
Scan 2024-02-14 1150-29.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-30.jpeg;1946-1947;Thyl Uilenspiegel;12/12/1946;;ned
Scan 2024-02-14 1150-31.jpeg;1946-1947;Faust;14/12/1946;;ned
Scan 2024-02-14 1150-32.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-33.jpeg;1946-1947;Madame Butterfly;15/12/1946;;ned
Scan 2024-02-14 1150-34.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-35.jpeg;1946-1947;Zwarte Viooltjes;15/12/1946;;ned
Scan 2024-02-14 1150-36.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-37.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-38.jpeg;1946-1947;Thyl Uilenspiegel;17/12/1946;galavoorstelling;ned
Scan 2024-02-14 1150-39.jpeg;1946-1947;De Ontvoering uit het Serail;19/12/1946;;ned
Scan 2024-02-14 1150-40.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-41.jpeg;1946-1947;Het Land van den Glimlach;21/12/1946;;ned
Scan 2024-02-14 1150-42.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-43.jpeg;1946-1947;Laagland;22/12/1946;;ned
Scan 2024-02-14 1150-44.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-45.jpeg;1946-1947;Thyl Uilenspiegel;22/12/1946;;ned
Scan 2024-02-14 1150-46.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-47.jpeg;1946-1947;Laagland;24/12/1946;;ned
Scan 2024-02-14 1150-48.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1150-49.jpeg;1946-1947;Zwarte Viooltjes;25/12/1946;;ned
Scan 2024-02-14 1204-1.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-2.jpeg;1946-1947;Het Land van den Glimlach;26/12/1946;;ned
Scan 2024-02-14 1204-3.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-4.jpeg;1946-1947;Fanny Elssler;28/12/1946;;ned
Scan 2024-02-14 1204-5.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-6.jpeg;1946-1947;Faust;29/12/1946;;ned
Scan 2024-02-14 1204-7.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-8.jpeg;1946-1947;Laagland;29/12/1946;;ned
Scan 2024-02-14 1204-9.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-10.jpeg;1946-1947;Zwarte Viooltjes;31/12/1946;;ned
Scan 2024-02-14 1204-11.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-12.jpeg;1946-1947;Het Land van den Glimlach;01/01/1947;;ned
Scan 2024-02-14 1204-13.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-14.jpeg;1946-1947;Laagland;02/01/1947;;ned
Scan 2024-02-14 1204-15.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-16.jpeg;1946-1947;Madame Butterfly + Haute Couture;04/01/1947;;ned
Scan 2024-02-14 1204-17.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-18.jpeg;1946-1947;Fanny Elssler;05/01/1947;;ned
Scan 2024-02-14 1204-19.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-20.jpeg;1946-1947;De Ontvoering uit het Serail;05/01/1947;;ned
Scan 2024-02-14 1204-21.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-22.jpeg;1946-1947;Het Land van den Glimlach;07/01/1947;;ned
Scan 2024-02-14 1204-23.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-24.jpeg;1946-1947;Zwarte Viooltjes;09/01/1947;;ned
Scan 2024-02-14 1204-25.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-26.jpeg;1946-1947;Laagland;11/01/1947;;ned
Scan 2024-02-14 1204-27.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-28.jpeg;1946-1947;De Ontvoering uit het Serail;12/01/1947;;ned
Scan 2024-02-14 1204-29.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-30.jpeg;1946-1947;Faust;12/01/1947;;ned
Scan 2024-02-14 1204-31.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-32.jpeg;1946-1947;Traviata;14/01/1947;;ned
Scan 2024-02-14 1204-33.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-34.jpeg;1946-1947;Fanny Elssler;16/01/1947;;ned
Scan 2024-02-14 1204-35.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-36.jpeg;1946-1947;De Tooverfluit;18/01/1947;;ned
Scan 2024-02-14 1204-37.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-38.jpeg;1946-1947;Thyl Uilenspiegel;19/01/1947;;ned
Scan 2024-02-14 1204-39.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-40.jpeg;1946-1947;Fanny Elssler;19/01/1947;;ned
Scan 2024-02-14 1204-41.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-42.jpeg;1946-1947;De Vogelhandelaar;21/01/1947;;ned
Scan 2024-02-14 1204-43.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-44.jpeg;1946-1947;De Tooverfluit;23/01/1947;;ned
Scan 2024-02-14 1204-45.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-46.jpeg;1946-1947;De Rozenkavalier;25/01/1947;;ned
Scan 2024-02-14 1204-47.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-48.jpeg;1946-1947;De Barbier van Sevilla;26/01/1947;;ned
Scan 2024-02-14 1204-49.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-50.jpeg;1946-1947;De Tooverfluit;26/01/1947;;ned
Scan 2024-02-14 1204-51.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-52.jpeg;1946-1947;Fanny Elssler;28/01/1947;;ned
Scan 2024-02-14 1204-53.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-54.jpeg;1946-1947;Schuld en Boete;30/01/1947;;ned
Scan 2024-02-14 1204-55.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-56.jpeg;1946-1947;Khovanstsjina;01/02/1947;;ned
Scan 2024-02-14 1204-57.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-58.jpeg;1946-1947;De Tooverfluit;02/02/1947;;ned
Scan 2024-02-14 1204-59.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-60.jpeg;1946-1947;De Barbier van Sevilla;02/02/1947;;ned
Scan 2024-02-14 1204-61.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-62.jpeg;1946-1947;Boheme;04/02/1947;;ned
Scan 2024-02-14 1204-63.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-64.jpeg;1946-1947;Traviata;06/02/1947;;ned
Scan 2024-02-14 1204-65.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-66.jpeg;1946-1947;Schuld en Boete;08/02/1947;;ned
Scan 2024-02-14 1204-67.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-68.jpeg;1946-1947;Khovanstsjina;09/02/1947;;ned
Scan 2024-02-14 1204-69.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-70.jpeg;1946-1947;De Vogelhandelaar;09/02/1947;;ned
Scan 2024-02-14 1204-71.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-72.jpeg;1946-1947;De Tooverfluit;11/02/1947;;ned
Scan 2024-02-14 1204-73.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-74.jpeg;1946-1947;De Barbier van Sevilla;13/02/1947;;ned
Scan 2024-02-14 1204-75.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-76.jpeg;1946-1947;Boheme;15/02/1947;;ned
Scan 2024-02-14 1204-77.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-78.jpeg;1946-1947;Zwarte Viooltjes;16/02/1947;;ned
Scan 2024-02-14 1204-79.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-80.jpeg;1946-1947;Khovanstsjina;16/02/1947;;ned
Scan 2024-02-14 1204-81.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-82.jpeg;1946-1947;De Barbier van Sevilla;18/02/1947;;ned
Scan 2024-02-14 1204-83.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-84.jpeg;1946-1947;Faust;20/02/1947;;ned
Scan 2024-02-14 1204-85.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-86.jpeg;1946-1947;Tsaar en Timmerman;22/02/1947;;ned
Scan 2024-02-14 1204-87.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-88.jpeg;1946-1947;Het Land van den Glimlach;23/02/1947;;ned
Scan 2024-02-14 1204-89.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-90.jpeg;1946-1947;Madame Butterfly + Haute Couture;23/02/1947;;ned
Scan 2024-02-14 1204-91.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-92.jpeg;1946-1947;Schuld en Boete;25/02/1947;;ned
Scan 2024-02-14 1204-93.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-94.jpeg;1946-1947;Tsaar en Timmerman;27/02/1947;;ned
Scan 2024-02-14 1204-95.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-96.jpeg;1946-1947;Salome + Ballet Suite;01/03/1947;;ned
Scan 2024-02-14 1204-97.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-98.jpeg;1946-1947;Traviata;02/03/1947;;ned
Scan 2024-02-14 1204-99.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1204-100.jpeg;1946-1947;Schuld en Boete;02/03/1947;;ned
Scan 2024-02-14 1218-1.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-2.jpeg;1946-1947;Tsaar en Timmerman;04/03/1947;;ned
Scan 2024-02-14 1218-3.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-4.jpeg;1946-1947;Khovanstsjina;06/03/1947;;ned
Scan 2024-02-14 1218-5.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-6.jpeg;1946-1947;Salome + Ballet Suite;09/03/1947;;ned
Scan 2024-02-14 1218-7.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-8.jpeg;1946-1947;De Regimentsdochter + Harte Troef;09/03/1947;;ned
Scan 2024-02-14 1218-9.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-10.jpeg;1946-1947;Boheme;13/03/1947;;ned
Scan 2024-02-14 1218-11.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-12.jpeg;1946-1947;De Regimentsdochter + Harte Troef;15/03/1947;;ned
Scan 2024-02-14 1218-13.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-14.jpeg;1946-1947;Tsaar en Timmerman;16/03/1947;;ned
Scan 2024-02-14 1218-15.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-16.jpeg;1946-1947;Traviata;16/03/1947;;ned
Scan 2024-02-14 1218-17.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-18.jpeg;1946-1947;De Regimentsdochter + Harte Troef;16/03/1947;;ned
Scan 2024-02-14 1218-19.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-20.jpeg;1946-1947;Madame Butterfly;20/03/1947;;ned
Scan 2024-02-14 1218-21.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-22.jpeg;1946-1947;Schilder Mathis;22/03/1947;;ned
Scan 2024-02-14 1218-23.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-24.jpeg;1946-1947;De Regimentsdochter + Harte Troef;23/03/1947;;ned
Scan 2024-02-14 1218-25.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-26.jpeg;1946-1947;Zwarte Viooltjes;23/03/1947;;ned
Scan 2024-02-14 1218-27.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-28.jpeg;1946-1947;Het Land van den Glimlach;25/03/1947;;ned
Scan 2024-02-14 1218-29.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-30.jpeg;1946-1947;Schilder Mathis;27/03/1947;;ned
Scan 2024-02-14 1218-31.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-32.jpeg;1946-1947;De Vogelhandelaar;29/03/1947;;ned
Scan 2024-02-14 1218-33.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-34.jpeg;1946-1947;Boheme;30/03/1947;;ned
Scan 2024-02-14 1218-35.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-36.jpeg;1946-1947;Schilder Mathis;30/03/1947;;ned
Scan 2024-02-14 1218-37.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-38.jpeg;1946-1947;Faust;01/04/1947;;ned
Scan 2024-02-14 1218-39.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-40.jpeg;1946-1947;Parsifal;04/04/1947;;ned
Scan 2024-02-14 1218-41.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-42.jpeg;1946-1947;Traviata;05/04/1947;;ned
Scan 2024-02-14 1218-43.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-44.jpeg;1946-1947;Faust;06/04/1947;;ned
Scan 2024-02-14 1218-45.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-46.jpeg;1946-1947;Tsaar en Timmerman;06/04/1947;;ned
Scan 2024-02-14 1218-47.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-48.jpeg;1946-1947;Parsifal;07/04/1947;;ned
Scan 2024-02-14 1218-49.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-50.jpeg;1946-1947;De Vogelhandelaar;08/04/1947;;ned
Scan 2024-02-14 1218-51.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-52.jpeg;1946-1947;De Regimentsdochter + Harte Troef;10/04/1947;;ned
Scan 2024-02-14 1218-53.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-54.jpeg;1946-1947;Tosca + Ballet Suite;12/04/1947;;ned
Scan 2024-02-14 1218-55.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-56.jpeg;1946-1947;Schilder Mathis;13/04/1947;;ned
Scan 2024-02-14 1218-57.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-58.jpeg;1946-1947;Het Land van den Glimlach;13/04/1947;;ned
Scan 2024-02-14 1218-59.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-60.jpeg;1946-1947;Madame Butterfly;15/04/1947;;ned
Scan 2024-02-14 1218-61.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-62.jpeg;1946-1947;Tosca + Ballet Suite;17/04/1947;;ned
Scan 2024-02-14 1218-63.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-64.jpeg;1946-1947;Louise;19/04/1947;;ned
Scan 2024-02-14 1218-65.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-66.jpeg;1946-1947;Zwarte Viooltjes;20/04/1947;;ned
Scan 2024-02-14 1218-67.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-68.jpeg;1946-1947;Salome + Ballet Suite;20/04/1947;;ned
Scan 2024-02-14 1218-69.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-70.jpeg;1946-1947;Schilder Mathis;22/04/1947;;ned
Scan 2024-02-14 1218-71.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-72.jpeg;1946-1947;Salome + Ballet Suite;24/04/1947;;ned
Scan 2024-02-14 1218-73.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-74.jpeg;1946-1947;De Tooverfluit;26/04/1947;;ned
Scan 2024-02-14 1218-75.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-76.jpeg;1946-1947;Tosca + Ballet Suite;27/04/1947;;ned
Scan 2024-02-14 1218-77.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-78.jpeg;1946-1947;Louise;27/04/1947;;ned
Scan 2024-02-14 1218-79.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-80.jpeg;1946-1947;Boheme;29/04/1947;;ned
Scan 2024-02-14 1218-81.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-82.jpeg;1946-1947;Louise;01/05/1947;;ned
Scan 2024-02-14 1218-83.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-84.jpeg;1946-1947;Tannhauser;03/05/1947;;ned
Scan 2024-02-14 1218-85.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-86.jpeg;1946-1947;De Tooverfluit;04/05/1947;;ned
Scan 2024-02-14 1218-87.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-88.jpeg;1946-1947;Tosca + Ballet Suite;04/05/1947;;ned
Scan 2024-02-14 1218-89.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-90.jpeg;1946-1947;De Regimentsdochter + Ballet Suite;06/05/1947;;ned
Scan 2024-02-14 1218-91.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-92.jpeg;1946-1947;Tannhauser;08/05/1947;;ned
Scan 2024-02-14 1218-93.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-94.jpeg;1946-1947;De Barbier van Sevilla;10/05/1947;;ned
Scan 2024-02-14 1218-95.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-96.jpeg;1946-1947;Louise;11/05/1947;;ned
Scan 2024-02-14 1218-97.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-98.jpeg;1946-1947;De Tooverfluit;11/05/1947;;ned
Scan 2024-02-14 1218-99.jpeg;1946-1947;;;;ned
Scan 2024-02-14 1218-100.jpeg;1946-1947;Het Land van den Glimlach;13/05/1947;;ned
Scan 2024-02-14 1232-1.jpeg;1946-1947;;;;ned
